Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA,LNC,LPC,Vcmax,fLNR,EM_tree,AM_tree,lnBNF,,,,,,,,,ssss
36,64,17,1.6,1.366552,909.2025,651,32.94394,11091,324.542,0.225,99.71667,6.258333,-2.433333,0.2995,0.97,4.7,48,38,12,27,96.9,4.9,800,635.016,91.6564,0.2300001,4674,0.8282601,0.448,0.03117616,0.3307445,11.80547,16.59813,1.013566,61.14796,11.46956,0.9942589,0.01247257,0.470003629,,,,,,,,,
37,64,-111,0.68,-8.296782,1540.403,280,49.38766,5799,273.5902,0.175,114.5333,-3.066667,-11.80833,0.1077,1.26,6,62,23,13,40,13.6,0.9,500,118.163,26.8487,0.2324628,1696,0.4307139,0.207,0.005917087,0.2417007,14.41362,15.92863,1.543736,NaN,NaN,0.9235155,0.06741292,-0.385662481,,,,,,,,,
38,64,20,3.74052,3.165833,839.5275,624,28.33046,10326,358.3639,0.2416667,100.2417,8.391666,0.04166667,0.2255,1.13,5.2,52,34,14,23,65.7,3.4,800,795.379,95.0682,NaN,6324,0.993864,0.411,0.03591468,0.3460439,11.72681,13.49989,1.017941,65.5444,11.81584,0.9824328,0.01474125,1.319224639,,,,,,,,,
39,63.7,-19.5,2.0065875,-0.08656249,420.8218,1664,15.12799,34038,194.271,0.1416667,89.40833,2.175,-2.808333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.894,9.54965,NaN,0,NaN,NaN,0.02480817,0.2325635,11.44087,5.273099,1.457502,NaN,NaN,0.8074805,0.1882114,0.696435518,,,,,,,,,
40,63,10,2,0.7916458,660.5211,720,30.62149,13038,344.7525,0.2166667,100.0333,4.558333,-2.641667,0.1258,1.28,4.8,78,12,8,31,39.1,2.1,700,111.976,22.7971,0.2302874,2472,1.134902,0.212,0.02382907,0.2218287,13.06479,18.89905,1.638797,70.94206,25.269,0.965673,0.03304243,0.693147181,,,,,,,,,
41,62,13,1.7,0.8233854,897.8565,646,34.81875,10796,349.3029,0.2083333,103.15,5.541667,-2.075,0.2048,1.17,4.6,75,14,10,24,69.6,3.6,800,490.898,84.7239,0.2400094,4031,0.6655577,0.428,0.03175285,0.3089025,11.13106,16.18356,1.171793,69.56506,18.84298,0.9864125,0.01520693,0.530628251,,,,,,,,,
42,61.1,-149.51,0.20625,2.156918,916.026,791,40.79882,12527,343.9182,0.2833333,98.00833,6.741667,-0.6083333,0.3806,0.61,4.9,35,59,6,29,199.3,5.5,700,214.964,31.3663,0.2022124,3245,1.534422,0.312,0.007755805,0.3296428,10.81341,13.48207,1.404745,NaN,NaN,0.9850038,0.01491529,-1.578666254,,,,,,,,,
43,60,15,0.9,4.671698,767.1473,757,24.88275,11162,449.6427,0.3083333,108.6417,9.65,1.266667,0.3098,0.98,4.8,50,36,12,26,101.9,5.1,800,329.722,59.3772,0.223397,5990,3.108942,0.586,0.05120759,0.3833302,8.486024,14.28664,0.9459189,60.81198,9.347959,0.9577178,0.04488613,-0.105360516,,,,,,,,,
44,60,17,0.73,5.837625,748.2133,575,28.23868,7610,476.3137,0.3416667,111.9667,10.35,3.033333,0.2261,1.13,5.2,52,33,15,32,65.8,3.5,700,114.59,13.9801,NaN,5293,1.600375,0.398,0.05321471,0.3509828,10.37883,13.06857,0.9905055,60.02082,12.84216,0.9377612,0.06810921,-0.314710745,,,,,,,,,
45,60,16,1.775,5.423167,773.9064,659,25.92117,8992,462.0834,0.3333333,110.3167,10.2,2.183333,0.2261,1.13,5.2,52,33,15,28,65.8,3.5,700,202.318,45.5688,0.2491954,5883,2.192464,0.579,0.05120759,0.3651689,9.469645,15.25137,0.8643071,56.73362,10.22189,0.9476067,0.05527658,0.573800423,,,,,,,,,
